,FUENTE INFO,NOMBRE ANFITRION,TIEMPO DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,TIPO DE PROPIEDAD,TIPO DE CUARTO,AMENIDADES,TIENE DISPONIBILIDAD,RESERVA INSTANTANEA,ID ANUNCIIO,TASA DE RESPUESTA,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,REVIEWS POR MES,FECHA INICIO ANFITRION
1711,city scrape,Fassbindhotels,within an hour,100%,t,Room in hotel,Private room,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""First aid kit"", ""Dishes and silverware"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Bed linens"", ""Iron"", ""Coffee maker"", ""Clothing storage"", ""Smoke alarm"", ""Body soap"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Microwave"", ""Room-darkening shades"", ""Safe"", ""Crib"", ""Heating"", ""Paid parking on premises"", ""Hot water"", ""TV"", ""Shampoo"", ""Wifi"", ""Central air conditioning""]",t,t,925113745189387136,100.0,9.0,9.0,46.21523,6.13165,1.0,1.0,1.0,1.0,50.0,2.0,7.0,2.0,2.0,1125,1125,2.0,1125.0,7,29,56,56,4.0,1.0,4.75,4.75,4.75,4.75,4.75,4.9,4.25,1.8,0.0,0.4,0.22,2023-05-09
1712,city scrape,Fassbindhotels,within an hour,100%,t,Room in hotel,Private room,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""First aid kit"", ""Dishes and silverware"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Bed linens"", ""Iron"", ""Coffee maker"", ""Clothing storage"", ""Smoke alarm"", ""Body soap"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Microwave"", ""Room-darkening shades"", ""Safe"", ""Crib"", ""Heating"", ""Paid parking on premises"", ""Hot water"", ""TV"", ""Shampoo"", ""Wifi"", ""Central air conditioning""]",t,t,925124342101911296,100.0,9.0,9.0,46.21469,6.13385,1.0,1.0,1.0,1.0,50.0,2.0,7.0,2.0,2.0,1125,1125,2.0,1125.0,3,23,50,50,6.0,5.0,4.83,5.0,4.83,5.0,4.83,5.0,4.83,1.8,0.0,0.4,0.34,2023-05-09
1713,city scrape,Betty,within a day,100%,f,Entire rental unit,Entire home/apt,"[""Essentials"", ""Iron"", ""Host greets you"", ""Bathtub"", ""Clothing storage: closet and dresser"", ""Dedicated workspace"", ""Wifi"", ""Bed linens"", ""Hangers""]",t,t,925253752373918592,94.8,1.0,1.0,46.207881,6.1423628,4.0,1.0,1.0,1.0,96.0,2.0,4.0,2.0,2.0,4,4,2.0,4.0,20,20,20,20,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.06,2018-05-18
1714,city scrape,Sylvie,within a few hours,73%,t,Private room in bed and breakfast,Private room,"[""Hair dryer"", ""Iron"", ""Pets allowed"", ""Washer"", ""Dedicated workspace"", ""Wifi""]",t,f,925309914446775552,100.0,1.0,1.0,46.1963374,6.1442363,2.0,1.0,1.0,1.0,100.0,2.0,10.0,2.0,2.0,10,10,2.0,10.0,29,56,86,255,26.0,2.5,4.92,4.96,4.96,5.0,4.92,5.0,4.77,1.0,0.0,1.0,1.49,2023-03-13
1715,previous scrape,Cherif,within a few hours,100%,f,Private room in rental unit,Private room,"[""Lake access"", ""Host greets you"", ""Washer"", ""TV"", ""Wifi"", ""Kitchen"", ""Lock on bedroom door"", ""Fire extinguisher""]",t,f,925480763967365888,100.0,3.0,3.0,46.20685,6.14116,2.0,1.2,1.2,1.6,153.8,2.0,6.0,2.0,2.0,6,6,2.0,6.0,0,0,0,0,6.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,0.33,2023-06-30
1716,previous scrape,Cherif,within a few hours,100%,f,Private room in rental unit,Private room,"[""Lake access"", ""Host greets you"", ""Washer"", ""TV"", ""Wifi"", ""Kitchen"", ""Lock on bedroom door"", ""Fire extinguisher""]",t,f,925519209986221056,100.0,3.0,3.0,46.20638,6.14229,2.0,1.2,1.2,1.6,153.8,2.0,14.0,2.0,2.0,14,14,2.0,14.0,0,0,0,0,9.0,6.0,4.89,4.78,4.89,4.78,5.0,5.0,4.78,3.0,1.0,2.0,0.5,2023-06-30
1717,city scrape,Diana,within a few hours,90%,t,Entire rental unit,Entire home/apt,"[""Refrigerator"", ""Iron"", ""Private hot tub"", ""Self check-in"", ""Washer"", ""Dedicated workspace"", ""Wifi"", ""Indoor fireplace"", ""Kitchen"", ""Keypad""]",t,f,925989848617562112,90.0,2.0,2.0,46.21174,6.14537,2.0,1.1,1.0,1.0,117.0,7.0,365.0,7.0,7.0,365,365,7.0,365.0,0,0,21,107,4.0,0.0,5.0,4.5,4.75,4.9,4.75,5.0,4.25,2.0,1.0,1.0,0.23,2016-06-28
1718,city scrape,Giulia,within a few hours,100%,f,Private room in rental unit,Private room,"[""Host greets you"", ""Washer"", ""TV"", ""Wifi"", ""Kitchen""]",t,f,926025868837170304,100.0,1.0,1.0,46.20149,6.16123,2.0,1.1,1.0,1.0,91.0,2.0,15.0,2.0,3.0,15,15,2.6,15.0,0,0,11,11,5.0,1.0,4.6,4.8,5.0,4.8,5.0,4.8,4.4,1.0,0.0,1.0,0.33,2023-07-01
1719,previous scrape,Audrey,within a few hours,85%,t,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""L\u2019Occitane en Provence conditioner"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Washer"", ""Wine glasses"", ""First aid kit"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""L\u2019Occitane en Provence shampoo"", ""Essentials"", ""Baking sheet"", ""Pets allowed"", ""Shower gel"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Portable fans"", ""Hangers"", ""Drying rack for clothing"", ""Sanex body soap"", ""Toaster"", ""Host greets you"", ""Refrigerator"", ""Microwave"", ""Cleaning products"", ""Single oven"", ""Cooking basics"", ""Hot water"", ""TV"", ""Wifi""]",t,f,926084277758072448,89.3,1.0,1.0,46.20421,6.1497,3.0,1.2,1.0,1.6,153.8,2.0,21.0,2.0,2.0,21,21,2.0,21.0,0,0,0,0,10.2,2.5,4.84,4.87,4.85,4.9,4.9,4.92,4.66,1.0,1.0,0.0,0.7,2022-08-24
1720,city scrape,Krishna,within an hour,100%,f,Private room in rental unit,Private room,"[""Hair dryer"", ""Exercise equipment"", ""Iron"", ""Washer"", ""TV"", ""BBQ grill"", ""Dedicated workspace"", ""Wifi"", ""Kitchen""]",t,f,926175889186385408,100.0,1.0,1.0,46.1873282,6.1461965,2.0,1.0,1.0,1.0,70.0,2.0,365.0,2.0,2.0,365,365,2.0,365.0,0,0,0,0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,0.17,2016-11-08
